RPC Name,Issue Type,Severity,Details,DB Signature,Frontend Signature
"fix_cost_basis_anomalies","MISSING_IN_DB","CRITICAL","RPC exists in frontend contract but not in database","","required: p_admin_id | optional: p_dry_run, p_reason"
"fix_doubled_cost_basis","MISSING_IN_DB","CRITICAL","RPC exists in frontend contract but not in database","","required:  | optional:"
"fix_position_metadata","MISSING_IN_FRONTEND","MEDIUM","RPC exists in frontend contract but not in database","","required:  | optional:"
"alert_on_aum_position_mismatch","MISSING_IN_FRONTEND","MEDIUM","RPC exists in DB but not in frontend contract","-> trigger",""
"alert_on_ledger_position_drift","MISSING_IN_FRONTEND","MEDIUM","RPC exists in DB but not in frontend contract","-> trigger",""
"alert_on_yield_conservation_violation","MISSING_IN_FRONTEND","MEDIUM","RPC exists in DB but not in frontend contract","-> trigger",""
"apply_daily_yield_to_fund_v2","MISSING_IN_FRONTEND","MEDIUM","RPC exists in DB but not in frontend contract","p_fund_id uuid, p_date date, p_gross_yield numeric, p_purpose text DEFAULT 'reporting'::text, p_notes text DEFAULT NULL::text -> jsonb",""
"assign_admin_role_from_invite","MISSING_IN_FRONTEND","MEDIUM","RPC exists in DB but not in frontend contract","-> trigger",""
"audit_delta_trigger","MISSING_IN_FRONTEND","MEDIUM","RPC exists in DB but not in frontend contract","-> trigger",""
"audit_fee_schedule_changes","MISSING_IN_FRONTEND","MEDIUM","RPC exists in DB but not in frontend contract","-> trigger",""
"audit_ib_allocation_payout","MISSING_IN_FRONTEND","MEDIUM","RPC exists in DB but not in frontend contract","-> trigger",""
"audit_investor_fund_performance_changes","MISSING_IN_FRONTEND","MEDIUM","RPC exists in DB but not in frontend contract","-> trigger",""
"audit_transaction_changes","MISSING_IN_FRONTEND","MEDIUM","RPC exists in DB but not in frontend contract","-> trigger",""
"audit_user_role_changes","MISSING_IN_FRONTEND","MEDIUM","RPC exists in DB but not in frontend contract","-> trigger",""
"auto_close_previous_fee_schedule","MISSING_IN_FRONTEND","MEDIUM","RPC exists in DB but not in frontend contract","-> trigger",""
"auto_heal_aum_drift","MISSING_IN_FRONTEND","MEDIUM","RPC exists in DB but not in frontend contract","-> trigger",""
"block_test_profiles","MISSING_IN_FRONTEND","MEDIUM","RPC exists in DB but not in frontend contract","-> trigger",""
"calculate_unrealized_pnl","MISSING_IN_FRONTEND","MEDIUM","RPC exists in DB but not in frontend contract","-> trigger",""
"cascade_void_from_transaction","MISSING_IN_FRONTEND","MEDIUM","RPC exists in DB but not in frontend contract","-> trigger",""
"cascade_void_to_allocations","MISSING_IN_FRONTEND","MEDIUM","RPC exists in DB but not in frontend contract","-> trigger",""
"cascade_void_to_yield_events","MISSING_IN_FRONTEND","MEDIUM","RPC exists in DB but not in frontend contract","-> trigger",""
"check_concentration_risk","MISSING_IN_FRONTEND","MEDIUM","RPC exists in DB but not in frontend contract","-> trigger",""
"check_duplicate_profile","REQUIRED_PARAM_COUNT_MISMATCH","CRITICAL","RPC exists in DB but not in frontend contract","-> trigger",""
"adjust_investor_position","REQUIRED_PARAM_COUNT_MISMATCH","CRITICAL","DB has 4 required params, frontend has 2","p_investor_id, p_fund_id, p_amount, p_reason","p_fund_id, p_investor_id"
"batch_crystallize_fund","REQUIRED_PARAM_COUNT_MISMATCH","CRITICAL","DB has 3 required params, frontend has 1","p_fund_id, p_effective_date, p_force_override","p_fund_id"
"force_delete_investor","REQUIRED_PARAM_COUNT_MISMATCH","CRITICAL","DB has 2 required params, frontend has 1","p_investor_id, p_admin_id","p_investor_id"
"get_kpi_metrics","REQUIRED_PARAM_COUNT_MISMATCH","CRITICAL","DB has 2 required params, frontend has 0","metric_type, user_id",""
"require_super_admin","REQUIRED_PARAM_COUNT_MISMATCH","CRITICAL","DB has 2 required params, frontend has 1","p_operation, p_actor_id","p_operation"
"route_withdrawal_to_fees","REQUIRED_PARAM_COUNT_MISMATCH","CRITICAL","DB has 2 required params, frontend has 1","p_request_id, p_actor_id","p_request_id"
"upsert_fund_aum_after_yield","REQUIRED_PARAM_NAME_MISMATCH","CRITICAL","DB has 5 required params, frontend has 2","p_fund_id, p_aum_date, p_yield_amount, p_purpose, p_actor_id","p_aum_date, p_fund_id"
"_resolve_investor_fee_pct","REQUIRED_PARAM_NAME_MISMATCH","CRITICAL","Required param #1: DB has ""p_investor_id"", frontend has ""p_date""","",""
"_resolve_investor_fee_pct","REQUIRED_PARAM_NAME_MISMATCH","CRITICAL","Required param #3: DB has ""p_date"", frontend has ""p_investor_id""","",""
"acquire_position_lock","REQUIRED_PARAM_NAME_MISMATCH","CRITICAL","Required param #1: DB has ""p_investor_id"", frontend has ""p_fund_id""","",""
"acquire_position_lock","REQUIRED_PARAM_NAME_MISMATCH","CRITICAL","Required param #2: DB has ""p_fund_id"", frontend has ""p_investor_id""","",""
"add_fund_to_investor","REQUIRED_PARAM_NAME_MISMATCH","CRITICAL","Required param #1: DB has ""p_investor_id"", frontend has ""p_fund_id""","",""
"add_fund_to_investor","REQUIRED_PARAM_NAME_MISMATCH","CRITICAL","Required param #2: DB has ""p_fund_id"", frontend has ""p_investor_id""","",""
"admin_create_transaction","REQUIRED_PARAM_NAME_MISMATCH","CRITICAL","Required param #1: DB has ""p_investor_id"", frontend has ""p_amount""","",""
"admin_create_transaction","REQUIRED_PARAM_NAME_MISMATCH","CRITICAL","Required param #3: DB has ""p_type"", frontend has ""p_investor_id""","",""
"admin_create_transaction","REQUIRED_PARAM_NAME_MISMATCH","CRITICAL","Required param #4: DB has ""p_amount"", frontend has ""p_tx_date""","",""
"admin_create_transaction","REQUIRED_PARAM_NAME_MISMATCH","CRITICAL","Required param #5: DB has ""p_tx_date"", frontend has ""p_type""","",""
"apply_adb_yield_distribution_v3","REQUIRED_PARAM_NAME_MISMATCH","CRITICAL","Required param #2: DB has ""p_period_start"", frontend has ""p_gross_yield_amount""","",""
"apply_adb_yield_distribution_v3","REQUIRED_PARAM_NAME_MISMATCH","CRITICAL","Required param #4: DB has ""p_gross_yield_amount"", frontend has ""p_period_start""","",""
"apply_daily_yield_to_fund_v3","REQUIRED_PARAM_NAME_MISMATCH","CRITICAL","Required param #2: DB has ""p_yield_date"", frontend has ""p_gross_yield_pct""","",""
"apply_daily_yield_to_fund_v3","REQUIRED_PARAM_NAME_MISMATCH","CRITICAL","Required param #3: DB has ""p_gross_yield_pct"", frontend has ""p_yield_date""","",""
"apply_daily_yield_with_validation","REQUIRED_PARAM_NAME_MISMATCH","CRITICAL","Required param #1: DB has ""p_fund_id"", frontend has ""p_created_by""","",""
"apply_daily_yield_with_validation","REQUIRED_PARAM_NAME_MISMATCH","CRITICAL","Required param #2: DB has ""p_yield_date"", frontend has ""p_fund_id""","",""
"apply_daily_yield_with_validation","REQUIRED_PARAM_NAME_MISMATCH","CRITICAL","Required param #4: DB has ""p_created_by"", frontend has ""p_yield_date""","",""
"apply_deposit_with_crystallization","REQUIRED_PARAM_NAME_MISMATCH","CRITICAL","Required param #1: DB has ""p_fund_id"", frontend has ""p_admin_id""","",""
"apply_deposit_with_crystallization","REQUIRED_PARAM_NAME_MISMATCH","CRITICAL","Required param #2: DB has ""p_investor_id"", frontend has ""p_amount""","",""
"apply_deposit_with_crystallization","OPTIONAL_PARAM_COUNT_MISMATCH","MEDIUM","Required param #3: DB has ""p_amount"", frontend has ""p_closing_aum""","",""
"adjust_investor_position","OPTIONAL_PARAM_COUNT_MISMATCH","MEDIUM","DB has 2 optional params, frontend has 8","p_tx_date, p_admin_id","p_admin_id, p_amount, p_reason, p_tx_date, p_delta, p_note, p_reference_id, p_tx_type"
"apply_transaction_with_crystallization","OPTIONAL_PARAM_COUNT_MISMATCH","MEDIUM","DB has 5 optional params, frontend has 4","p_notes, p_admin_id, p_new_total_aum, p_purpose, p_distribution_id","p_admin_id, p_new_total_aum, p_notes, p_purpose"
"batch_crystallize_fund","OPTIONAL_PARAM_COUNT_MISMATCH","MEDIUM","DB has 0 optional params, frontend has 5","","p_admin_id, p_dry_run, p_new_total_aum, p_target_date, p_force_override"
"force_delete_investor","OPTIONAL_PARAM_COUNT_MISMATCH","MEDIUM","DB has 0 optional params, frontend has 1","","p_admin_id"
"get_kpi_metrics","OPTIONAL_PARAM_COUNT_MISMATCH","MEDIUM","DB has 0 optional params, frontend has 3","","metric_type, user_id, p_date_range"
"require_super_admin","OPTIONAL_PARAM_COUNT_MISMATCH","MEDIUM","DB has 0 optional params, frontend has 1","","p_actor_id"
"route_withdrawal_to_fees","OPTIONAL_PARAM_COUNT_MISMATCH","MEDIUM","DB has 1 optional params, frontend has 2","p_reason","p_actor_id, p_reason"
"upsert_fund_aum_after_yield","OPTIONAL_PARAM_NAME_MISMATCH","MEDIUM","DB has 0 optional params, frontend has 5","","p_source, p_total_aum, p_actor_id, p_purpose, p_yield_amount"
"acquire_delivery_batch","OPTIONAL_PARAM_NAME_MISMATCH","MEDIUM","Optional param #1: DB has ""p_channel"", frontend has ""p_batch_size""","",""
"acquire_delivery_batch","OPTIONAL_PARAM_NAME_MISMATCH","MEDIUM","Optional param #2: DB has ""p_batch_size"", frontend has ""p_channel""","",""
"add_fund_to_investor","OPTIONAL_PARAM_NAME_MISMATCH","MEDIUM","Optional param #1: DB has ""p_initial_shares"", frontend has ""p_cost_basis""","",""
"add_fund_to_investor","OPTIONAL_PARAM_NAME_MISMATCH","MEDIUM","Optional param #2: DB has ""p_cost_basis"", frontend has ""p_initial_shares""","",""
"admin_create_transaction","OPTIONAL_PARAM_NAME_MISMATCH","MEDIUM","Optional param #1: DB has ""p_notes"", frontend has ""p_admin_id""","",""
"admin_create_transaction","OPTIONAL_PARAM_NAME_MISMATCH","MEDIUM","Optional param #2: DB has ""p_reference_id"", frontend has ""p_notes""","",""
"admin_create_transaction","OPTIONAL_PARAM_NAME_MISMATCH","MEDIUM","Optional param #3: DB has ""p_admin_id"", frontend has ""p_reference_id""","",""
"apply_adb_yield_distribution_v3","OPTIONAL_PARAM_NAME_MISMATCH","MEDIUM","Optional param #2: DB has ""p_purpose"", frontend has ""p_distribution_date""","",""
"apply_adb_yield_distribution_v3","OPTIONAL_PARAM_NAME_MISMATCH","MEDIUM","Optional param #3: DB has ""p_distribution_date"", frontend has ""p_purpose""","",""
"approve_withdrawal","OPTIONAL_PARAM_NAME_MISMATCH","MEDIUM","Optional param #1: DB has ""p_approved_amount"", frontend has ""p_admin_notes""","",""
"approve_withdrawal","OPTIONAL_PARAM_NAME_MISMATCH","MEDIUM","Optional param #2: DB has ""p_admin_notes"", frontend has ""p_approved_amount""","",""
"assert_integrity_or_raise","OPTIONAL_PARAM_NAME_MISMATCH","MEDIUM","Optional param #1: DB has ""p_scope_fund_id"", frontend has ""p_context""","",""
"assert_integrity_or_raise","OPTIONAL_PARAM_NAME_MISMATCH","MEDIUM","Optional param #2: DB has ""p_scope_investor_id"", frontend has ""p_scope_fund_id""","",""
"assert_integrity_or_raise","OPTIONAL_PARAM_NAME_MISMATCH","MEDIUM","Optional param #3: DB has ""p_context"", frontend has ""p_scope_investor_id""","",""
"check_and_fix_aum_integrity","OPTIONAL_PARAM_NAME_MISMATCH","MEDIUM","Optional param #1: DB has ""p_fund_id"", frontend has ""p_dry_run""","",""
"check_and_fix_aum_integrity","OPTIONAL_PARAM_NAME_MISMATCH","MEDIUM","Optional param #2: DB has ""p_start_date"", frontend has ""p_end_date""","",""
"check_and_fix_aum_integrity","OPTIONAL_PARAM_NAME_MISMATCH","MEDIUM","Optional param #3: DB has ""p_end_date"", frontend has ""p_fund_id""","",""
"check_and_fix_aum_integrity","OPTIONAL_PARAM_NAME_MISMATCH","MEDIUM","Optional param #4: DB has ""p_dry_run"", frontend has ""p_start_date""","",""
"complete_withdrawal","OPTIONAL_PARAM_NAME_MISMATCH","MEDIUM","Optional param #1: DB has ""p_event_ts"", frontend has ""p_admin_notes""","",""
"complete_withdrawal","SECURITY_DEFINER_MISMATCH","MEDIUM","Optional param #2: DB has ""p_transaction_hash"", frontend has ""p_event_ts""","",""
"_resolve_investor_fee_pct","SECURITY_DEFINER_MISMATCH","MEDIUM","DB has securityDefiner=true, frontend has false","",""
"acquire_delivery_batch","SECURITY_DEFINER_MISMATCH","MEDIUM","DB has securityDefiner=true, frontend has false","",""
"acquire_position_lock","SECURITY_DEFINER_MISMATCH","MEDIUM","DB has securityDefiner=true, frontend has false","",""
"acquire_withdrawal_lock","SECURITY_DEFINER_MISMATCH","MEDIUM","DB has securityDefiner=true, frontend has false","",""
"acquire_yield_lock","SECURITY_DEFINER_MISMATCH","MEDIUM","DB has securityDefiner=true, frontend has false","",""
"add_fund_to_investor","SECURITY_DEFINER_MISMATCH","MEDIUM","DB has securityDefiner=true, frontend has false","",""
"adjust_investor_position","SECURITY_DEFINER_MISMATCH","MEDIUM","DB has securityDefiner=true, frontend has false","",""
"admin_create_transactions_batch","SECURITY_DEFINER_MISMATCH","MEDIUM","DB has securityDefiner=true, frontend has false","",""
"apply_adb_yield_distribution_v3","SECURITY_DEFINER_MISMATCH","MEDIUM","DB has securityDefiner=true, frontend has false","",""
"apply_daily_yield_to_fund_v3","SECURITY_DEFINER_MISMATCH","MEDIUM","DB has securityDefiner=true, frontend has false","",""
"apply_daily_yield_with_validation","SECURITY_DEFINER_MISMATCH","MEDIUM","DB has securityDefiner=true, frontend has false","",""
"apply_deposit_with_crystallization","SECURITY_DEFINER_MISMATCH","MEDIUM","DB has securityDefiner=true, frontend has false","",""
"apply_transaction_with_crystallization","SECURITY_DEFINER_MISMATCH","MEDIUM","DB has securityDefiner=true, frontend has false","",""
"apply_withdrawal_with_crystallization","SECURITY_DEFINER_MISMATCH","MEDIUM","DB has securityDefiner=true, frontend has false","",""
"apply_yield_correction_v2","SECURITY_DEFINER_MISMATCH","MEDIUM","DB has securityDefiner=true, frontend has false","",""
"approve_mfa_reset","SECURITY_DEFINER_MISMATCH","MEDIUM","DB has securityDefiner=true, frontend has false","",""
"approve_request","SECURITY_DEFINER_MISMATCH","MEDIUM","DB has securityDefiner=true, frontend has false","",""
"approve_staging_promotion","SECURITY_DEFINER_MISMATCH","MEDIUM","DB has securityDefiner=true, frontend has false","",""
"approve_withdrawal","SECURITY_DEFINER_MISMATCH","MEDIUM","DB has securityDefiner=true, frontend has false","",""
"assert_integrity_or_raise","RETURNS_SET_MISMATCH","MEDIUM","DB has securityDefiner=true, frontend has false","",""
"acquire_delivery_batch","RETURNS_SET_MISMATCH","MEDIUM","DB has returnsSet=true, frontend has false","",""
"check_all_funds_transaction_aum","RETURNS_SET_MISMATCH","MEDIUM","DB has returnsSet=true, frontend has false","",""
"check_approval_integrity","RETURNS_SET_MISMATCH","MEDIUM","DB has returnsSet=true, frontend has false","",""
"check_aum_position_health","RETURNS_SET_MISMATCH","MEDIUM","DB has returnsSet=true, frontend has false","",""
"check_transaction_sources","RETURNS_SET_MISMATCH","MEDIUM","DB has returnsSet=true, frontend has false","",""
"cleanup_test_profiles","RETURNS_SET_MISMATCH","MEDIUM","DB has returnsSet=true, frontend has false","",""
"get_aum_position_reconciliation","RETURNS_SET_MISMATCH","MEDIUM","DB has returnsSet=true, frontend has false","",""
"get_existing_preflow_aum","RETURNS_SET_MISMATCH","MEDIUM","DB has returnsSet=true, frontend has false","",""
"get_fund_aum_as_of","RETURNS_SET_MISMATCH","MEDIUM","DB has returnsSet=true, frontend has false","",""
"get_fund_composition","RETURNS_SET_MISMATCH","MEDIUM","DB has returnsSet=true, frontend has false","",""
"get_fund_nav_history","RETURNS_SET_MISMATCH","MEDIUM","DB has returnsSet=true, frontend has false","",""
"get_fund_net_flows","RETURNS_SET_MISMATCH","MEDIUM","DB has returnsSet=true, frontend has false","",""
"get_fund_summary","RETURNS_SET_MISMATCH","MEDIUM","DB has returnsSet=true, frontend has false","",""
"get_funds_with_aum","RETURNS_SET_MISMATCH","MEDIUM","DB has returnsSet=true, frontend has false","",""
"get_health_trend","RETURNS_SET_MISMATCH","MEDIUM","DB has returnsSet=true, frontend has false","",""
"get_historical_nav","RETURNS_SET_MISMATCH","MEDIUM","DB has returnsSet=true, frontend has false","",""
"get_latest_health_status","RETURNS_SET_MISMATCH","MEDIUM","DB has returnsSet=true, frontend has false","",""
"get_monthly_platform_aum","RETURNS_SET_MISMATCH","MEDIUM","DB has returnsSet=true, frontend has false","",""
"get_pending_approval","RETURNS_SET_MISMATCH","MEDIUM","DB has returnsSet=true, frontend has false","",""
"get_position_reconciliation","RETURNS_SET_MISMATCH","MEDIUM","DB has returnsSet=true, frontend has false","",""